source_model,training_cohort,training_subjects,training_windows,training_subject_list,training_subjects_sha256,validation_subjects,validation_windows,validation_subject_list,validation_subjects_sha256,configuration_id,configuration_sha256,input_view,validation_predictions,validation_predictions_sha256,external_target_tuning,external_inference_cohorts,release_scope,checkpoint,checkpoint_sha256,checkpoint_state_dict_sha256,checkpoint_selected_epoch,checkpoint_validation_sbp_mae,checkpoint_validation_dbp_mae,preprocessing_config,preprocessing_config_sha256,validation_input_manifest,validation_input_manifest_sha256,source_prediction_lineage
physiocat,pulsedb_vital,2442,167483,data/folds/source_model_training_subjects.txt,92495162260c54cde4b9704f1edb0cdf354748461bac3e1790f002f607d98e45,272,18769,data/folds/source_model_validation_subjects.txt,7a58f2060af059069075b1a6d10dd70eab38b4b22f1702805b7a6e0676164679,pcat-delay-v2,2e236acae73a87dd098ddd4427adc02b591bb5b0b5edd238cb40b0188a083f7f,window_robust,artifacts/predictions/source_validation/physiocat_predictions.csv.gz,990bef763b31f90b21482b3fcc0ec34d150c5525a81e73a7e5b53aa0ad13ff35,False,pulsedb_mimic|mimic_bp,released frozen checkpoint is the declared source of the released source-validation and zero-shot external prediction artifacts; authorized raw waveforms are required for end-to-end inference,artifacts/checkpoints/source_models/physiocat/pulsedb_vital_frozen_source/checkpoint.npz,cfc4528204e20e456d6e43e45f9409a6c4e2383edbf7eaa542af63c7047c553f,3b5d91eb0c621194106be9169ce42af2ae8b8c2d3a2857749178554e0ed4d84d,46.00000000,4.32022652,3.05513675,configs/preprocessing/default_8s_250hz.yaml,8c2f6400115cc40a372fa46563f9776e46b55b1e65d62fc5b583fcd4f7158165,data/manifests/source_model_validation_windows.csv.gz,09f26cb701feb8f86cd739948ce5e49e25192fa6ca4d231256e9a211ed2951a1,artifacts/protocol/source_model_prediction_lineage.csv
matched_no_delay,pulsedb_vital,2442,167483,data/folds/source_model_training_subjects.txt,92495162260c54cde4b9704f1edb0cdf354748461bac3e1790f002f607d98e45,272,18769,data/folds/source_model_validation_subjects.txt,7a58f2060af059069075b1a6d10dd70eab38b4b22f1702805b7a6e0676164679,pcat-nodelay-v2,c078a588560158cc7bc3d77e66aba94094ff447a4b6861a4c05bd0318089cb8c,window_robust,artifacts/predictions/source_validation/matched_no_delay_predictions.csv.gz,c8126c48f5a6bcb6d65c63378ce07c5e7287b0757dc9dec98692d84071c0c748,False,pulsedb_mimic|mimic_bp,released frozen checkpoint is the declared source of the released source-validation and zero-shot external prediction artifacts; authorized raw waveforms are required for end-to-end inference,artifacts/checkpoints/source_models/matched_no_delay/pulsedb_vital_frozen_source/checkpoint.npz,0e7b09dde2450e495cad177b17002f5da8aa82910d53a259b107a85da4f351d4,36b33857d41aa6c9d0d0fae10a88602c836dfb56c3df69a7a621f14cd9c4490a,44.00000000,5.40693107,3.52700903,configs/preprocessing/default_8s_250hz.yaml,8c2f6400115cc40a372fa46563f9776e46b55b1e65d62fc5b583fcd4f7158165,data/manifests/source_model_validation_windows.csv.gz,09f26cb701feb8f86cd739948ce5e49e25192fa6ca4d231256e9a211ed2951a1,artifacts/protocol/source_model_prediction_lineage.csv
mufubp_net,pulsedb_vital,2442,167483,data/folds/source_model_training_subjects.txt,92495162260c54cde4b9704f1edb0cdf354748461bac3e1790f002f607d98e45,272,18769,data/folds/source_model_validation_subjects.txt,7a58f2060af059069075b1a6d10dd70eab38b4b22f1702805b7a6e0676164679,mufu-v1,d81cf334c794cc7c64b4c84e1e4055c35b3090fbeece48fc0769a91486380941,window_robust,artifacts/predictions/source_validation/mufubp_net_predictions.csv.gz,77f86b26e22bb7798dead1b54797703d98d131383be56d5d8dbe60e420c9cfd8,False,pulsedb_mimic|mimic_bp,released frozen checkpoint is the declared source of the released source-validation and zero-shot external prediction artifacts; authorized raw waveforms are required for end-to-end inference,artifacts/checkpoints/source_models/mufubp_net/pulsedb_vital_frozen_source/checkpoint.npz,31e81fc046ebbd9a9a8602cf7cf68f3c86189ca233743a83726e61a935c21482,af98bba5d8b80a9d977625256a26655bd98ff3810a8dcf70507dd5f8200a1f83,20.00000000,5.00159404,3.40696849,configs/preprocessing/default_8s_250hz.yaml,8c2f6400115cc40a372fa46563f9776e46b55b1e65d62fc5b583fcd4f7158165,data/manifests/source_model_validation_windows.csv.gz,09f26cb701feb8f86cd739948ce5e49e25192fa6ca4d231256e9a211ed2951a1,artifacts/protocol/source_model_prediction_lineage.csv
