mask_configuration,mask_family,delay_interval_ms,allowed_edge_density,encodes_ecg_leading_ppg_timing,sbp_mae,dbp_mae,n_windows,n_subjects,evaluation_scope,source_record,interpretation,sbp_delta_vs_default,dbp_delta_vs_default
No-delay-band cross-attention,capacity_control,all keys on the default band's natural query support,Not sparse,No,5.250650,3.512501,186252,2714,complete five-fold subject-grouped OOF,matched_no_delay_prediction_authority,Search-space control without a delay prior,0.987477,0.404457
Fixed-uniform aggregation within the default delay band,fixed_uniform_band,analysis-grid patch support 132-444 within declared 120-450,Same admissible edges as the default band,Yes,4.514062,3.266958,186252,2714,complete five-fold subject-grouped OOF,uniform_delay_band_prediction_authority,The physiological band alone is insufficient without learned within-band edge weighting,0.250889,0.158914
Degree-preserving random rewiring,degree_preserving_random,random locations,Exactly preserves the default row and column degree vectors,No,5.631732,3.646451,186252,2714,complete five-fold subject-grouped OOF,attention_edge_ablation_prediction_authority,Sparse graph capacity alone does not recover delay-aware performance,1.368559,0.538407
Same-width shifted band,common_support_shifted_band,analysis-grid patch support 516-828,452 edges on the same 113 ECG anchors used by the equal-width location sweep,Wrong delay region,5.516982,3.653728,186252,2714,complete five-fold subject-grouped OOF,shifted_offsets_9_12_prediction_authority,Moving an otherwise equal-capacity band away from plausible pulse-arrival timing is suboptimal,1.253809,0.545684
Zero-centered nonzero local mask,local_order_agnostic,"token offsets -2,-1,+1,+2",494 natural-boundary edges; zero lag excluded,No,5.404303,3.540039,186252,2714,complete five-fold subject-grouped OOF,direction_agnostic_local_prediction_authority,Generic local cross-modal proximity is insufficient,1.141130,0.431995
PPG-leading mirror delay band,direction_control,token-centre lags -384 to -192,Same parameters and total edge count as the default band,No; encodes the opposite ordering,4.823447,3.449637,186252,2714,complete five-fold subject-grouped OOF,ppg_leading_mirror_prediction_authority,Reversing the ECG-leading relation weakens the matched backbone,0.560274,0.341593
Default delay-banded asymmetric attention (PhysioCAT),asymmetric_delay_band,analysis-grid patch support 132-444 within declared 120-450,Natural boundary-aware support,Yes,4.263173,3.108044,186252,2714,complete five-fold subject-grouped OOF,physiocat_prediction_authority,Default PhysioCAT mask,0.000000,0.000000
