model,input_view,fold_subject_id,n_replay_windows,checkpoint,input_tensor,expected_predictions,training_log,pretrain_epochs,supervised_epochs,replay_scope
physiocat,window_robust,physiocat-fixture-subject,8,artifacts/replay/physiocat/physiocat-fixture-subject/checkpoint.pt,artifacts/replay/physiocat/physiocat-fixture-subject/input_waveforms.npz,artifacts/replay/physiocat/physiocat-fixture-subject/expected_predictions.csv,artifacts/replay/physiocat/physiocat-fixture-subject/training_log.csv,5,20,complete waveform tensor to neural-network prediction on an explicitly separate public fixture
matched_no_delay,window_robust,matched_no_delay-fixture-subject,8,artifacts/replay/matched_no_delay/matched_no_delay-fixture-subject/checkpoint.pt,artifacts/replay/matched_no_delay/matched_no_delay-fixture-subject/input_waveforms.npz,artifacts/replay/matched_no_delay/matched_no_delay-fixture-subject/expected_predictions.csv,artifacts/replay/matched_no_delay/matched_no_delay-fixture-subject/training_log.csv,5,20,complete waveform tensor to neural-network prediction on an explicitly separate public fixture
