configuration_id,model,analysis_role,evaluation_scope,completed_runs,outer_folds,median_selected_epoch,median_stopped_epoch,mean_selected_validation_mae,mean_outer_test_mae,mean_validation_test_gap,total_gpu_hours,median_wall_clock_hours,released_representative_checkpoints
random-mask-82003,attention_edge_ablation_seed_82003,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,35.000000,47.000000,4.655280,4.647824,0.007456,14.908978,2.996056,0
random-mask-82004,attention_edge_ablation_seed_82004,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,36.000000,48.000000,4.597463,4.608909,-0.011446,15.093979,2.914590,0
random-mask-82005,attention_edge_ablation_seed_82005,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,36.000000,48.000000,4.578726,4.586268,-0.007542,15.059433,2.929408,0
random-mask-82006,attention_edge_ablation_seed_82006,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,31.000000,43.000000,4.602875,4.602920,-0.000045,14.269437,2.701502,0
random-mask-82007,attention_edge_ablation_seed_82007,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,35.000000,47.000000,4.629186,4.646844,-0.017657,15.443105,3.009916,0
random-mask-82008,attention_edge_ablation_seed_82008,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,34.000000,46.000000,4.607847,4.626887,-0.019040,15.186106,2.988817,0
random-mask-82009,attention_edge_ablation_seed_82009,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,26.000000,38.000000,4.631035,4.669108,-0.038073,12.626806,2.567333,0
random-mask-82010,attention_edge_ablation_seed_82010,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,32.000000,44.000000,4.599464,4.617559,-0.018095,13.687336,2.835164,0
random-mask-82011,attention_edge_ablation_seed_82011,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,36.000000,48.000000,4.569366,4.622966,-0.053600,14.881000,2.997078,0
random-mask-82012,attention_edge_ablation_seed_82012,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,27.000000,39.000000,4.630662,4.643127,-0.012465,13.433544,2.668820,0
random-mask-82013,attention_edge_ablation_seed_82013,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,34.000000,46.000000,4.640036,4.639834,0.000202,14.820754,3.112061,0
random-mask-82014,attention_edge_ablation_seed_82014,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,39.000000,51.000000,4.659927,4.648460,0.011466,15.034818,3.126671,0
random-mask-82015,attention_edge_ablation_seed_82015,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,33.000000,45.000000,4.637628,4.613184,0.024444,15.375229,3.077567,0
random-mask-82016,attention_edge_ablation_seed_82016,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,37.000000,49.000000,4.633874,4.630703,0.003171,15.771780,3.112848,0
random-mask-82017,attention_edge_ablation_seed_82017,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,31.000000,43.000000,4.611705,4.580622,0.031083,14.031107,2.847013,0
random-mask-82018,attention_edge_ablation_seed_82018,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,36.000000,48.000000,4.608015,4.587034,0.020981,15.087408,3.129907,0
random-mask-82019,attention_edge_ablation_seed_82019,independently trained degree-preserving random-rewiring topology control,complete five-fold subject-grouped out-of-fold evaluation,5,5,32.000000,44.000000,4.662996,4.663500,-0.000504,13.923469,2.756303,0
se_fusion-v3,se_fusion,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,35.000000,47.000000,4.813804,4.828203,-0.014400,14.712698,2.936331,0
shifted_offsets_9_12-v3,shifted_offsets_9_12,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,41.000000,53.000000,4.540644,4.585264,-0.044620,15.447760,3.306227,0
tesagru-v1,te_sagru,five-fold subject-grouped primary model comparison,complete five-fold subject-grouped out-of-fold evaluation,5,5,31.000000,43.000000,4.589635,4.617519,-0.027884,37.931288,7.401500,0
unidirectional_delay-v3,unidirectional_delay,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,40.000000,52.000000,4.169395,4.181855,-0.012459,16.119994,3.203590,0
uniform_delay_band-v3,uniform_delay_band,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,37.000000,49.000000,3.864287,3.890294,-0.026008,15.197168,3.166305,0
without_delay_and_sqi-v3,without_delay_and_sqi,five-fold factorized ablation,complete five-fold subject-grouped out-of-fold evaluation,5,5,34.000000,46.000000,5.036232,5.027297,0.008935,14.137931,2.901944,0
without_pretraining-v3,without_pretraining,prespecified secondary mechanism or sensitivity analysis,complete five-fold subject-grouped out-of-fold evaluation,5,5,34.000000,46.000000,3.978601,3.993109,-0.014508,12.482428,2.576205,0
without_sqi_fusion-v3,without_sqi_fusion,five-fold factorized ablation,complete five-fold subject-grouped out-of-fold evaluation,5,5,35.000000,47.000000,3.951602,3.970367,-0.018765,14.386381,3.026481,0
ALL_REPORTED_CONFIGURATIONS,all,complete subject-grouped OOF evidence,50 configurations on five subject-grouped outer folds,250,5,33.000000,45.000000,4.652438,4.657151,-0.004713,724.527092,2.912749,10
