me,mae,sde,rmse,pearson_r,within_5_pct,within_10_pct,within_15_pct,cohort,model,display_name,outcome,n_windows,n_subjects,evaluation_scope
0.148532,3.266958,4.178114,4.180742,0.903800,78.218757,97.837339,99.843760,pulsedb_vital,uniform_delay_band,Fixed uniform delay-band aggregation,DBP,186252,2714,complete five-fold subject-grouped OOF
-0.196795,8.539155,11.226721,11.228416,0.728257,38.680927,67.267466,83.952387,pulsedb_vital,ecg_only,ECG only,SBP,186252,2714,complete five-fold subject-grouped OOF
0.255582,5.735597,7.477739,7.482085,0.720810,53.740094,83.680175,94.928377,pulsedb_vital,ecg_only,ECG only,DBP,186252,2714,complete five-fold subject-grouped OOF
-0.270296,7.088397,9.292737,9.296642,0.793166,45.388506,75.259863,89.993128,pulsedb_vital,ppg_only,PPG only,SBP,186252,2714,complete five-fold subject-grouped OOF
0.255558,4.492357,5.846875,5.852442,0.803961,64.580783,91.408414,98.184181,pulsedb_vital,ppg_only,PPG only,DBP,186252,2714,complete five-fold subject-grouped OOF
0.140960,5.983012,7.851904,7.853148,0.855561,52.279707,82.135494,94.019393,pulsedb_vital,early_concat,Early concatenation,SBP,186252,2714,complete five-fold subject-grouped OOF
0.058186,3.853459,5.007044,5.007369,0.863112,71.361381,94.958443,99.188734,pulsedb_vital,early_concat,Early concatenation,DBP,186252,2714,complete five-fold subject-grouped OOF
0.119481,6.186575,8.117774,8.118632,0.847267,50.813951,80.919400,93.302622,pulsedb_vital,late_average,Late averaging,SBP,186252,2714,complete five-fold subject-grouped OOF
0.063467,3.990233,5.195124,5.195498,0.854792,69.865558,94.266907,99.001353,pulsedb_vital,late_average,Late averaging,DBP,186252,2714,complete five-fold subject-grouped OOF
0.136631,5.894737,7.737692,7.738878,0.858875,52.893929,82.771192,94.315766,pulsedb_vital,gated_fusion,Gated fusion,SBP,186252,2714,complete five-fold subject-grouped OOF
0.072273,3.824947,4.972415,4.972927,0.864695,71.700707,95.059382,99.247793,pulsedb_vital,gated_fusion,Gated fusion,DBP,186252,2714,complete five-fold subject-grouped OOF
0.107344,5.881104,7.701028,7.701755,0.860080,52.957284,82.698172,94.411872,pulsedb_vital,se_fusion,SE-based fusion,SBP,186252,2714,complete five-fold subject-grouped OOF
0.100925,3.776365,4.900816,4.901842,0.867782,72.329425,95.324614,99.320276,pulsedb_vital,se_fusion,SE-based fusion,DBP,186252,2714,complete five-fold subject-grouped OOF
0.165095,4.550169,5.844631,5.846946,0.920812,63.279857,91.500762,98.385521,pulsedb_vital,delay_120_300,120--300 ms delay band,SBP,186252,2714,complete five-fold subject-grouped OOF
0.141827,3.275110,4.186977,4.189367,0.903495,78.022786,97.834117,99.838391,pulsedb_vital,delay_120_300,120--300 ms delay band,DBP,186252,2714,complete five-fold subject-grouped OOF
0.178655,4.432329,5.702526,5.705309,0.924272,64.652729,92.106930,98.549814,pulsedb_vital,delay_120_350,120--350 ms delay band,SBP,186252,2714,complete five-fold subject-grouped OOF
0.154085,3.185866,4.065802,4.068710,0.908260,79.147070,98.145523,99.882954,pulsedb_vital,delay_120_350,120--350 ms delay band,DBP,186252,2714,complete five-fold subject-grouped OOF
0.186367,4.446769,5.713746,5.716769,0.923934,64.422395,92.012435,98.602968,pulsedb_vital,delay_80_550,80--550 ms delay band,SBP,186252,2714,complete five-fold subject-grouped OOF
0.158016,3.215856,4.106897,4.109924,0.906765,78.863583,98.034920,99.877048,pulsedb_vital,delay_80_550,80--550 ms delay band,DBP,186252,2714,complete five-fold subject-grouped OOF
0.163774,7.383393,9.707930,9.709285,0.797662,43.888925,73.542834,88.750725,pulsedb_vital,timing_jitter_160ms,PPG timing jitter (160 ms SD),SBP,186252,2714,complete five-fold subject-grouped OOF
0.058808,4.904406,6.385990,6.386244,0.800634,60.542169,89.011125,97.352512,pulsedb_vital,timing_jitter_160ms,PPG timing jitter (160 ms SD),DBP,186252,2714,complete five-fold subject-grouped OOF
